timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,8.35,-99.02,98.90,-96.82,1.61,10.53,-3.14,-99.83,99.64,-99.83,-3.18,20.53
0.0333,1,6.55,-99.03,98.93,-97.05,0.80,10.53,-3.18,-99.83,99.64,-99.83,-3.18,20.53
0.0667,2,4.91,-99.05,98.94,-97.27,0.07,10.53,-3.21,-99.83,99.64,-99.83,-3.18,20.53
0.1000,3,3.43,-99.06,98.96,-97.45,-0.59,10.53,-3.23,-99.83,99.64,-99.83,-3.18,20.53
0.1333,4,2.10,-99.07,98.98,-97.62,-1.17,10.53,-3.25,-99.83,99.64,-99.83,-3.18,20.53
0.1667,5,0.93,-99.08,98.99,-97.75,-1.68,10.53,-3.27,-99.83,99.64,-99.83,-3.18,20.53
0.2000,6,-0.09,-99.08,99.00,-97.86,-2.12,10.53,-3.29,-99.83,99.64,-99.83,-3.18,20.53
0.2333,7,-0.95,-99.09,99.01,-97.94,-2.48,10.53,-3.30,-99.83,99.64,-99.83,-3.18,20.53
0.2667,8,-1.81,-99.09,99.01,-97.97,-2.82,10.53,-3.29,-99.83,99.64,-99.83,-3.18,20.53
0.3000,9,-2.37,-99.08,99.02,-97.95,-3.01,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.3333,10,-2.63,-99.08,99.02,-97.92,-3.07,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.3667,11,-2.69,-99.08,99.01,-97.91,-3.08,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.4000,12,-2.74,-99.08,99.01,-97.89,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.4333,13,-2.76,-99.08,99.01,-97.89,-3.12,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.4667,14,-2.78,-99.08,99.01,-97.90,-3.13,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.5000,15,-2.78,-99.08,99.01,-97.90,-3.13,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.5333,16,-2.78,-99.08,99.01,-97.91,-3.12,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.5667,17,-2.77,-99.08,99.01,-97.92,-3.12,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.6000,18,-2.76,-99.08,99.01,-97.94,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.6333,19,-2.75,-99.08,99.01,-97.95,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.6667,20,-2.75,-99.08,99.01,-97.96,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.7000,21,-2.75,-99.08,99.01,-97.97,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.7333,22,-2.75,-99.08,99.01,-97.98,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.7667,23,-2.75,-99.08,99.01,-97.99,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.17,20.53
0.8000,24,-2.75,-99.08,99.01,-97.99,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.17,20.53
0.8333,25,-2.75,-99.08,99.01,-97.99,-3.11,10.53,-3.28,-99.83,99.64,-99.83,-3.17,20.53
0.8667,26,-2.75,-99.08,99.01,-97.98,-3.10,10.53,-3.28,-99.83,99.64,-99.83,-3.18,20.53
0.9000,27,-2.75,-99.08,99.01,-97.98,-3.10,10.53,-3.28,-99.84,99.64,-99.83,-3.19,20.53
0.9333,28,-2.75,-99.08,99.01,-97.98,-3.10,10.53,-3.28,-99.84,99.64,-99.83,-3.22,20.53
0.9667,29,-2.75,-99.08,99.01,-97.98,-3.11,10.53,-3.28,-99.84,99.64,-99.83,-3.25,20.53
1.0000,30,-2.75,-99.08,99.01,-97.98,-3.12,10.53,-3.28,-99.83,99.64,-99.83,-3.30,20.53
1.0333,31,-2.75,-99.08,99.01,-97.98,-3.14,10.53,-3.28,-99.81,99.64,-99.83,-3.34,20.53
1.0667,32,-2.75,-99.08,99.01,-97.98,-3.16,10.53,-3.28,-99.80,99.64,-99.83,-3.38,20.53
1.1000,33,-2.75,-99.08,99.01,-97.98,-3.20,10.53,-3.28,-99.79,99.64,-99.83,-3.42,20.53
1.1333,34,-2.75,-99.08,99.01,-97.98,-3.24,10.53,-3.28,-99.79,99.64,-99.83,-3.45,20.53
1.1667,35,-2.75,-99.08,99.01,-97.98,-3.28,10.53,-3.28,-99.78,99.64,-99.83,-3.48,20.53
1.2000,36,-2.75,-99.08,99.01,-97.98,-3.32,10.53,-3.28,-99.78,99.64,-99.83,-3.49,20.53
1.2333,37,-2.75,-99.08,99.01,-97.98,-3.35,10.53,-3.28,-99.79,99.64,-99.83,-3.48,20.53
1.2667,38,-2.75,-99.08,99.01,-97.98,-3.38,10.53,-3.28,-99.79,99.64,-99.83,-3.47,20.53
1.3000,39,-2.75,-99.08,99.01,-97.98,-3.40,10.53,-3.28,-99.80,99.64,-99.83,-3.44,20.53
1.3333,40,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.28,-99.81,99.64,-99.83,-3.40,20.53
1.3667,41,-2.75,-99.08,99.01,-97.98,-3.43,10.53,-3.28,-99.83,99.64,-99.83,-3.35,20.53
1.4000,42,-2.75,-99.08,99.01,-97.98,-3.43,10.53,-3.28,-99.84,99.64,-99.83,-3.30,20.53
1.4333,43,-2.75,-99.08,99.01,-97.98,-3.43,10.53,-3.28,-99.84,99.64,-99.83,-3.26,20.53
1.4667,44,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.28,-99.84,99.64,-99.83,-3.24,20.53
1.5000,45,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.28,-99.83,99.64,-99.83,-3.22,20.53
1.5333,46,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.28,-99.84,99.64,-99.83,-3.21,20.53
1.5667,47,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.28,-99.84,99.64,-99.83,-3.23,20.53
1.6000,48,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.28,-99.84,99.64,-99.83,-3.26,20.53
1.6333,49,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.28,-99.86,99.63,-99.85,-3.30,20.53
1.6667,50,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.29,-99.91,99.62,-99.86,-3.35,20.53
1.7000,51,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.29,-99.97,99.64,-99.95,-3.42,20.53
1.7333,52,-2.75,-99.08,99.01,-97.98,-3.42,10.53,-3.29,-99.95,99.68,-100.05,-3.48,20.53
