timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,7.12,-99.00,98.90,-96.57,1.10,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.0333,1,5.82,-99.00,98.92,-96.84,0.96,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.0667,2,4.62,-99.00,98.94,-97.07,0.83,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.1000,3,3.54,-99.00,98.95,-97.29,0.72,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.1333,4,2.56,-99.00,98.97,-97.47,0.62,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.1667,5,1.69,-99.00,98.98,-97.63,0.54,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.2000,6,0.92,-99.00,98.99,-97.76,0.47,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.2333,7,0.26,-99.00,99.00,-97.86,0.41,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.2667,8,-0.28,-99.00,99.01,-97.92,0.38,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.3000,9,-0.71,-99.00,99.01,-97.95,0.35,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.3333,10,-1.03,-99.00,99.01,-97.96,0.34,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.3667,11,-1.25,-99.00,99.01,-97.95,0.34,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.4000,12,-1.39,-99.00,99.01,-97.94,0.34,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.4333,13,-1.45,-99.00,99.01,-97.92,0.35,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
0.4667,14,-1.46,-99.00,99.01,-97.91,0.35,13.16,-1.78,-99.66,99.64,-100.00,0.26,23.16
