timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,6.21,-99.00,99.01,-96.58,1.17,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.0333,1,5.64,-99.04,99.01,-96.89,0.83,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.0667,2,5.13,-99.07,99.01,-97.17,0.52,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.1000,3,4.68,-99.10,99.01,-97.41,0.25,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.1333,4,4.28,-99.12,99.01,-97.62,0.01,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.1667,5,3.93,-99.14,99.01,-97.79,-0.19,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.2000,6,3.63,-99.16,99.01,-97.93,-0.37,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.2333,7,3.39,-99.17,99.01,-98.03,-0.51,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.2667,8,3.20,-99.18,99.01,-98.08,-0.62,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.3000,9,3.12,-99.17,99.01,-98.04,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.3333,10,3.09,-99.17,99.01,-98.01,-0.68,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.3667,11,3.07,-99.17,99.01,-97.99,-0.69,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.4000,12,3.05,-99.17,99.01,-97.98,-0.70,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.4333,13,3.04,-99.17,99.01,-97.98,-0.69,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.4667,14,3.04,-99.17,99.01,-97.98,-0.69,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.5000,15,3.04,-99.17,99.01,-97.98,-0.68,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.5333,16,3.05,-99.17,99.01,-97.99,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.5667,17,3.06,-99.17,99.01,-98.00,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.6000,18,3.06,-99.17,99.01,-98.01,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.6333,19,3.06,-99.17,99.01,-98.02,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.6667,20,3.06,-99.17,99.01,-98.03,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.7000,21,3.06,-99.17,99.01,-98.05,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.7333,22,3.06,-99.17,99.01,-98.06,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.7667,23,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.8000,24,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.8333,25,3.06,-99.17,99.01,-98.08,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.8667,26,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.9000,27,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.9333,28,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
0.9667,29,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.0000,30,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.0333,31,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.0667,32,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.1000,33,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.1333,34,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.1667,35,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.2000,36,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.2333,37,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.2667,38,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.3000,39,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.3333,40,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.3667,41,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.4000,42,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.4333,43,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.4667,44,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.5000,45,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.5333,46,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.5667,47,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.6000,48,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.6333,49,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.6667,50,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.7000,51,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.7333,52,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.7667,53,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.80,-99.83,99.64,-99.91,-0.73,23.16
1.8000,54,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.80,-99.83,99.64,-99.91,-0.73,23.16
1.8333,55,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.80,-99.83,99.64,-99.91,-0.73,23.16
1.8667,56,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.81,-99.83,99.64,-99.91,-0.73,23.16
1.9000,57,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.82,-99.83,99.64,-99.91,-0.74,23.16
1.9333,58,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.83,-99.83,99.64,-99.91,-0.76,23.16
1.9667,59,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.84,-99.83,99.64,-99.91,-0.76,23.16
2.0000,60,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.85,-99.83,99.64,-99.91,-0.76,23.16
2.0333,61,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.86,-99.83,99.64,-99.91,-0.74,23.16
2.0667,62,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.87,-99.83,99.64,-99.92,-0.71,23.16
2.1000,63,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.88,-99.83,99.64,-99.95,-0.66,23.16
2.1333,64,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.89,-99.84,99.64,-99.96,-0.62,23.16
2.1667,65,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.91,-99.84,99.64,-99.96,-0.56,23.16
2.2000,66,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.91,-99.86,99.64,-100.05,-0.52,23.16
2.2333,67,3.06,-99.17,99.01,-98.07,-0.67,13.16,2.90,-99.85,99.64,-100.18,-0.49,23.16
2.2667,68,3.06,-99.17,99.01,-98.08,-0.67,13.16,2.89,-99.83,99.64,-100.35,-0.49,23.16
2.3000,69,3.06,-99.17,99.01,-98.11,-0.67,13.16,2.86,-99.78,99.69,-100.24,-0.52,23.16
2.3333,70,3.06,-99.17,99.01,-98.22,-0.67,13.16,2.85,-99.73,99.81,-99.73,-0.56,23.16
2.3667,71,3.06,-99.17,99.01,-98.35,-0.67,13.16,2.86,-99.67,99.92,-98.84,-0.61,23.16
2.4000,72,3.06,-99.17,99.01,-98.44,-0.67,13.16,2.90,-99.62,99.87,-97.42,-0.63,23.16
2.4333,73,3.05,-99.17,99.05,-98.37,-0.68,13.16,2.96,-99.57,99.69,-95.65,-0.63,23.16
2.4667,74,3.05,-99.17,99.10,-98.05,-0.68,13.16,3.04,-99.52,99.34,-93.57,-0.61,23.16
2.5000,75,3.05,-99.17,99.12,-97.45,-0.69,13.16,3.12,-99.49,98.81,-91.25,-0.56,23.16
2.5333,76,3.06,-99.17,99.10,-96.51,-0.68,13.16,3.20,-99.46,98.05,-88.67,-0.50,23.16
2.5667,77,3.07,-99.17,99.03,-95.23,-0.66,13.16,3.29,-99.45,97.11,-85.99,-0.43,23.16
2.6000,78,3.08,-99.17,98.88,-93.64,-0.64,13.16,3.38,-99.45,96.05,-83.30,-0.37,23.16
2.6333,79,3.09,-99.17,98.65,-91.74,-0.61,13.16,3.46,-99.47,94.91,-80.73,-0.30,23.16
2.6667,80,3.10,-99.17,98.33,-89.60,-0.59,13.16,3.51,-99.49,93.74,-78.39,-0.25,23.16
