timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,8.21,-99.02,98.81,-97.68,1.31,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.0333,1,7.06,-99.03,98.82,-97.75,1.03,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.0667,2,6.01,-99.05,98.84,-97.82,0.76,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.1000,3,5.04,-99.06,98.85,-97.88,0.53,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.1333,4,4.17,-99.07,98.86,-97.93,0.32,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.1667,5,3.39,-99.08,98.88,-97.98,0.13,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.2000,6,2.70,-99.08,98.89,-98.02,-0.02,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.2333,7,2.10,-99.09,98.90,-98.05,-0.15,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.2667,8,1.44,-99.09,98.91,-98.09,-0.28,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.3000,9,0.95,-99.08,98.92,-98.11,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.3333,10,0.70,-99.08,98.92,-98.12,-0.38,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.3667,11,0.61,-99.08,98.93,-98.10,-0.39,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.4000,12,0.56,-99.08,98.93,-98.12,-0.39,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.4333,13,0.54,-99.08,98.92,-98.13,-0.38,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.4667,14,0.53,-99.08,98.92,-98.14,-0.37,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.5000,15,0.52,-99.08,98.92,-98.15,-0.37,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.5333,16,0.52,-99.08,98.92,-98.16,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.5667,17,0.52,-99.08,98.92,-98.16,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.6000,18,0.52,-99.08,98.92,-98.16,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.6333,19,0.51,-99.08,98.92,-98.15,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.6667,20,0.51,-99.08,98.92,-98.15,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.47,20.53
0.7000,21,0.50,-99.08,98.92,-98.15,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.45,20.53
0.7333,22,0.50,-99.08,98.92,-98.15,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.45,20.53
0.7667,23,0.50,-99.08,98.92,-98.15,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.46,20.53
0.8000,24,0.50,-99.08,98.92,-98.15,-0.35,10.53,0.04,-99.92,99.64,-100.00,-0.49,20.53
0.8333,25,0.50,-99.08,98.92,-98.15,-0.35,10.53,0.04,-99.92,99.64,-100.00,-0.52,20.53
0.8667,26,0.50,-99.08,98.92,-98.15,-0.36,10.53,0.04,-99.92,99.64,-100.00,-0.54,20.53
0.9000,27,0.50,-99.08,98.92,-98.15,-0.37,10.53,0.04,-99.92,99.64,-100.00,-0.55,20.53
0.9333,28,0.50,-99.08,98.92,-98.15,-0.39,10.53,0.04,-99.92,99.64,-100.00,-0.55,20.53
0.9667,29,0.50,-99.08,98.92,-98.15,-0.42,10.53,0.04,-99.92,99.64,-100.00,-0.53,20.53
1.0000,30,0.50,-99.08,98.92,-98.15,-0.45,10.53,0.04,-99.92,99.64,-100.00,-0.49,20.53
1.0333,31,0.50,-99.08,98.92,-98.15,-0.48,10.53,0.03,-99.93,99.64,-100.01,-0.46,20.53
1.0667,32,0.50,-99.08,98.92,-98.15,-0.51,10.53,0.03,-99.92,99.64,-100.01,-0.45,20.53
1.1000,33,0.50,-99.08,98.92,-98.15,-0.54,10.53,0.03,-99.91,99.64,-100.00,-0.44,20.53
1.1333,34,0.50,-99.08,98.92,-98.15,-0.56,10.53,0.04,-99.90,99.64,-100.01,-0.44,20.53
1.1667,35,0.50,-99.08,98.92,-98.15,-0.58,10.53,0.05,-99.87,99.64,-100.03,-0.45,20.53
1.2000,36,0.50,-99.08,98.92,-98.15,-0.58,10.53,0.07,-99.85,99.64,-100.12,-0.50,20.53
1.2333,37,0.50,-99.08,98.92,-98.15,-0.58,10.53,0.10,-99.82,99.65,-100.15,-0.57,20.53
1.2667,38,0.50,-99.08,98.92,-98.16,-0.57,10.53,0.12,-99.78,99.67,-100.15,-0.66,20.53
1.3000,39,0.50,-99.08,98.91,-98.17,-0.57,10.53,0.14,-99.75,99.70,-100.10,-0.71,20.53
1.3333,40,0.50,-99.08,98.91,-98.19,-0.57,10.53,0.16,-99.72,99.70,-99.86,-0.74,20.53
1.3667,41,0.50,-99.08,98.92,-98.24,-0.57,10.53,0.18,-99.69,99.67,-99.40,-0.75,20.53
