timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,6.98,-99.04,99.19,-96.48,1.08,10.69,8.19,-99.83,99.55,-99.66,0.78,7.29
0.0333,1,7.16,-99.10,99.19,-96.68,1.03,10.40,8.19,-99.83,99.55,-99.66,0.78,7.29
0.0667,2,7.31,-99.15,99.19,-96.86,0.98,10.14,8.19,-99.83,99.55,-99.66,0.78,7.29
0.1000,3,7.45,-99.20,99.19,-97.02,0.94,9.91,8.19,-99.83,99.55,-99.66,0.78,7.29
0.1333,4,7.57,-99.24,99.19,-97.15,0.91,9.70,8.19,-99.83,99.55,-99.66,0.78,7.29
0.1667,5,7.67,-99.27,99.19,-97.26,0.88,9.51,8.19,-99.83,99.55,-99.66,0.78,7.29
0.2000,6,7.76,-99.30,99.19,-97.35,0.86,9.34,8.19,-99.83,99.55,-99.66,0.78,7.29
0.2333,7,7.83,-99.32,99.19,-97.42,0.84,9.21,8.19,-99.83,99.55,-99.66,0.78,7.29
0.2667,8,7.89,-99.34,99.19,-97.45,0.84,9.04,8.19,-99.83,99.55,-99.66,0.78,7.29
0.3000,9,7.92,-99.35,99.19,-97.43,0.85,8.92,8.19,-99.83,99.55,-99.66,0.78,7.29
0.3333,10,7.91,-99.35,99.19,-97.41,0.85,8.86,8.19,-99.83,99.55,-99.66,0.78,7.29
0.3667,11,7.91,-99.34,99.19,-97.41,0.86,8.86,8.19,-99.83,99.55,-99.66,0.78,7.29
0.4000,12,7.91,-99.33,99.19,-97.41,0.86,8.89,8.19,-99.83,99.55,-99.66,0.78,7.29
0.4333,13,7.90,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.4667,14,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.5000,15,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.5333,16,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.5667,17,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.6000,18,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.6333,19,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.6667,20,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.7000,21,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.7333,22,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.7667,23,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.8000,24,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.8333,25,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.8667,26,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.9000,27,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.9333,28,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
0.9667,29,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.79,7.29
1.0000,30,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.80,7.29
1.0333,31,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.80,7.29
1.0667,32,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.78,7.29
1.1000,33,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.75,7.29
1.1333,34,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.73,7.29
1.1667,35,7.89,-99.33,99.19,-97.40,0.86,8.93,8.19,-99.83,99.55,-99.66,0.73,7.29
1.2000,36,7.89,-99.33,99.19,-97.40,0.85,8.93,8.19,-99.83,99.55,-99.66,0.74,7.29
1.2333,37,7.89,-99.33,99.19,-97.40,0.83,8.93,8.19,-99.83,99.55,-99.66,0.76,7.29
