timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,8.63,-99.02,98.83,-96.74,1.29,10.53,-3.55,-99.83,99.64,-100.00,-1.20,20.53
0.0333,1,6.65,-99.03,98.83,-97.01,0.85,10.53,-3.91,-99.83,99.64,-100.00,-1.20,20.53
0.0667,2,4.82,-99.05,98.83,-97.26,0.46,10.53,-4.23,-99.83,99.64,-100.00,-1.20,20.53
0.1000,3,3.16,-99.06,98.83,-97.48,0.10,10.53,-4.50,-99.83,99.64,-100.00,-1.20,20.53
0.1333,4,1.65,-99.07,98.83,-97.67,-0.21,10.53,-4.73,-99.83,99.64,-100.00,-1.20,20.53
0.1667,5,0.31,-99.08,98.83,-97.83,-0.47,10.53,-4.92,-99.83,99.64,-100.00,-1.20,20.53
0.2000,6,-0.87,-99.08,98.83,-97.95,-0.70,10.53,-5.07,-99.83,99.64,-100.00,-1.20,20.53
0.2333,7,-1.89,-99.09,98.83,-98.05,-0.88,10.53,-5.17,-99.83,99.64,-100.00,-1.20,20.53
0.2667,8,-2.97,-99.09,98.83,-98.10,-1.03,10.53,-5.13,-99.83,99.64,-100.00,-1.20,20.53
0.3000,9,-3.73,-99.08,98.83,-98.09,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.3333,10,-4.15,-99.08,98.83,-98.06,-1.10,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.3667,11,-4.35,-99.08,98.83,-98.06,-1.11,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.4000,12,-4.43,-99.08,98.83,-98.07,-1.11,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.4333,13,-4.49,-99.08,98.83,-98.07,-1.11,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.4667,14,-4.53,-99.08,98.83,-98.08,-1.10,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.5000,15,-4.55,-99.08,98.83,-98.07,-1.10,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.5333,16,-4.56,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.5667,17,-4.56,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.6000,18,-4.55,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.6333,19,-4.54,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.6667,20,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.7000,21,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.7333,22,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.7667,23,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.8000,24,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.8333,25,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.8667,26,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.9000,27,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.9333,28,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
0.9667,29,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.0000,30,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.0333,31,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.0667,32,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.1000,33,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.1333,34,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.1667,35,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.2000,36,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.2333,37,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.2667,38,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.3000,39,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.3333,40,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.3667,41,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.4000,42,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.4333,43,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.4667,44,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.5000,45,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
1.5333,46,-4.53,-99.08,98.83,-98.07,-1.09,10.53,-5.02,-99.83,99.64,-100.00,-1.20,20.53
