timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,7.71,-99.02,98.92,-96.74,1.16,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.0333,1,6.01,-99.03,98.94,-96.97,0.70,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.0667,2,4.47,-99.05,98.96,-97.17,0.28,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.1000,3,3.08,-99.06,98.97,-97.35,-0.09,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.1333,4,1.85,-99.07,98.98,-97.51,-0.42,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.1667,5,0.78,-99.07,99.00,-97.64,-0.71,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.2000,6,-0.14,-99.08,99.00,-97.76,-0.95,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.2333,7,-0.90,-99.09,99.01,-97.84,-1.14,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.2667,8,-1.43,-99.09,99.01,-97.89,-1.27,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.3000,9,-1.81,-99.09,99.02,-97.91,-1.35,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.3333,10,-2.05,-99.09,99.02,-97.92,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.3667,11,-2.19,-99.09,99.01,-97.92,-1.43,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.4000,12,-2.24,-99.08,99.01,-97.91,-1.43,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.4333,13,-2.24,-99.08,99.01,-97.90,-1.42,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.4667,14,-2.21,-99.08,99.01,-97.90,-1.41,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.5000,15,-2.17,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.5333,16,-2.15,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.5667,17,-2.15,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.6000,18,-2.14,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.6333,19,-2.14,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.6667,20,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.7000,21,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.7333,22,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.7667,23,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.8000,24,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.8333,25,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.8667,26,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.9000,27,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.9333,28,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
0.9667,29,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
1.0000,30,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
1.0333,31,-2.13,-99.08,99.01,-97.90,-1.40,13.16,-2.57,-99.83,99.64,-99.91,-1.41,23.16
