timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,7.76,-99.02,98.83,-96.74,1.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.0333,1,6.39,-99.03,98.83,-97.02,0.91,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.0667,2,5.14,-99.05,98.83,-97.26,0.68,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.1000,3,4.01,-99.06,98.83,-97.47,0.48,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.1333,4,3.00,-99.07,98.83,-97.65,0.30,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.1667,5,2.12,-99.08,98.83,-97.81,0.15,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.2000,6,1.35,-99.08,98.83,-97.93,0.02,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.2333,7,0.70,-99.09,98.83,-98.02,-0.08,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.2667,8,0.07,-99.09,98.83,-98.06,-0.15,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.3000,9,-0.32,-99.08,98.83,-98.03,-0.17,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.3333,10,-0.50,-99.08,98.83,-98.00,-0.18,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.3667,11,-0.56,-99.08,98.83,-97.99,-0.18,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.4000,12,-0.59,-99.08,98.83,-97.99,-0.17,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.4333,13,-0.61,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.4667,14,-0.61,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.5000,15,-0.61,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.5333,16,-0.61,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.5667,17,-0.60,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.6000,18,-0.59,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.6333,19,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.6667,20,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.7000,21,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.7333,22,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.7667,23,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.8000,24,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.8333,25,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.8667,26,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
0.9000,27,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.20,20.53
0.9333,28,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.20,20.53
0.9667,29,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.0000,30,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.0333,31,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.22,20.53
1.0667,32,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.22,20.53
1.1000,33,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.23,20.53
1.1333,34,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.24,20.53
1.1667,35,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.25,20.53
1.2000,36,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.26,20.53
1.2333,37,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.26,20.53
1.2667,38,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.26,20.53
1.3000,39,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.26,20.53
1.3333,40,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.25,20.53
1.3667,41,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.24,20.53
1.4000,42,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.23,20.53
1.4333,43,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.22,20.53
1.4667,44,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.22,20.53
1.5000,45,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.5333,46,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.5667,47,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.20,20.53
1.6000,48,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.20,20.53
1.6333,49,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.6667,50,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.7000,51,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.7333,52,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.7667,53,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.8000,54,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.8333,55,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
1.8667,56,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.22,20.53
1.9000,57,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.22,20.53
1.9333,58,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.22,20.53
1.9667,59,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.21,20.53
2.0000,60,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.19,20.53
2.0333,61,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.17,20.53
2.0667,62,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.13,20.53
2.1000,63,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.09,20.53
2.1333,64,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.04,20.53
2.1667,65,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,-0.00,20.53
2.2000,66,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,0.04,20.53
2.2333,67,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,0.07,20.53
2.2667,68,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,0.09,20.53
2.3000,69,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,0.11,20.53
2.3333,70,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.07,-99.83,99.64,-99.91,0.12,20.53
2.3667,71,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.06,-99.83,99.64,-99.91,0.12,20.53
2.4000,72,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.06,-99.83,99.64,-99.91,0.12,20.53
2.4333,73,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.04,-99.83,99.64,-99.91,0.13,20.53
2.4667,74,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.03,-99.83,99.64,-99.91,0.13,20.53
2.5000,75,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.02,-99.83,99.64,-99.91,0.14,20.53
2.5333,76,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.01,-99.83,99.64,-99.91,0.15,20.53
2.5667,77,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-1.00,-99.83,99.64,-99.91,0.17,20.53
2.6000,78,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,0.17,20.53
2.6333,79,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.98,-99.83,99.64,-99.91,0.17,20.53
2.6667,80,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.98,-99.83,99.64,-99.91,0.15,20.53
2.7000,81,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.98,-99.83,99.64,-99.91,0.13,20.53
2.7333,82,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,0.10,20.53
2.7667,83,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,0.07,20.53
2.8000,84,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,0.04,20.53
2.8333,85,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,0.01,20.53
2.8667,86,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,-0.01,20.53
2.9000,87,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,-0.04,20.53
2.9333,88,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,-0.06,20.53
2.9667,89,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,-0.08,20.53
3.0000,90,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,-0.07,20.53
3.0333,91,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,-0.05,20.53
3.0667,92,-0.58,-99.08,98.83,-97.98,-0.17,10.53,-0.99,-99.83,99.64,-99.91,-0.03,20.53
3.1000,93,-0.58,-99.08,98.83,-97.98,-0.16,10.53,-0.99,-99.83,99.64,-99.91,-0.00,20.53
3.1333,94,-0.58,-99.08,98.83,-97.98,-0.15,10.53,-0.99,-99.83,99.64,-99.91,0.03,20.53
3.1667,95,-0.58,-99.08,98.83,-97.98,-0.14,10.53,-0.99,-99.83,99.64,-99.91,0.06,20.53
3.2000,96,-0.58,-99.08,98.83,-97.98,-0.12,10.53,-0.99,-99.83,99.64,-99.91,0.09,20.53
3.2333,97,-0.58,-99.08,98.83,-97.98,-0.10,10.53,-0.99,-99.83,99.64,-99.91,0.12,20.53
3.2667,98,-0.58,-99.08,98.83,-97.98,-0.07,10.53,-0.99,-99.83,99.64,-99.91,0.15,20.53
3.3000,99,-0.58,-99.08,98.83,-97.98,-0.05,10.53,-0.99,-99.83,99.64,-99.91,0.17,20.53
3.3333,100,-0.58,-99.08,98.83,-97.98,-0.03,10.53,-0.98,-99.83,99.64,-99.91,0.19,20.53
3.3667,101,-0.58,-99.08,98.83,-97.98,-0.01,10.53,-0.97,-99.83,99.64,-99.91,0.19,20.53
3.4000,102,-0.58,-99.08,98.83,-97.98,0.00,10.53,-0.95,-99.83,99.64,-99.91,0.19,20.53
3.4333,103,-0.58,-99.08,98.83,-97.98,0.01,10.53,-0.94,-99.83,99.64,-99.91,0.19,20.53
3.4667,104,-0.58,-99.08,98.83,-97.98,0.01,10.53,-0.93,-99.83,99.64,-99.91,0.20,20.53
3.5000,105,-0.58,-99.08,98.83,-97.98,0.00,10.53,-0.92,-99.83,99.64,-99.91,0.21,20.53
3.5333,106,-0.58,-99.08,98.83,-97.98,0.00,10.53,-0.91,-99.83,99.64,-99.91,0.23,20.53
3.5667,107,-0.58,-99.08,98.83,-97.98,0.00,10.53,-0.91,-99.83,99.64,-99.93,0.25,20.53
3.6000,108,-0.58,-99.08,98.83,-97.98,0.00,10.53,-0.90,-99.83,99.64,-99.95,0.24,20.53
3.6333,109,-0.58,-99.08,98.83,-97.98,0.00,10.53,-0.90,-99.84,99.64,-99.96,0.21,20.53
3.6667,110,-0.58,-99.08,98.83,-97.98,0.01,10.53,-0.90,-99.84,99.64,-99.93,0.17,20.53
3.7000,111,-0.58,-99.08,98.83,-97.98,0.02,10.53,-0.90,-99.84,99.65,-99.89,0.11,20.53
3.7333,112,-0.58,-99.08,98.83,-97.98,0.01,10.53,-0.91,-99.84,99.75,-99.95,0.04,20.53
3.7667,113,-0.58,-99.08,98.83,-97.98,0.00,10.53,-0.91,-99.85,99.86,-100.04,-0.04,20.53
3.8000,114,-0.58,-99.08,98.83,-97.98,-0.02,10.53,-0.92,-99.83,99.92,-100.06,-0.12,20.53
3.8333,115,-0.58,-99.08,98.83,-98.00,-0.05,10.53,-0.93,-99.79,99.96,-100.08,-0.21,20.53
3.8667,116,-0.58,-99.08,98.88,-98.05,-0.09,10.53,-0.94,-99.74,99.66,-99.56,-0.28,20.53
3.9000,117,-0.58,-99.08,98.93,-98.16,-0.13,10.53,-0.95,-99.68,99.13,-98.72,-0.34,20.53
3.9333,118,-0.58,-99.08,98.98,-98.28,-0.16,10.53,-0.96,-99.61,98.28,-97.60,-0.37,20.53
3.9667,119,-0.58,-99.09,99.01,-98.35,-0.20,10.53,-0.97,-99.53,97.10,-96.07,-0.37,20.53
4.0000,120,-0.58,-99.10,98.96,-98.23,-0.23,10.53,-0.98,-99.47,95.69,-94.13,-0.35,20.53
4.0333,121,-0.58,-99.11,98.80,-97.99,-0.26,10.53,-0.99,-99.40,94.15,-91.77,-0.32,20.53
4.0667,122,-0.58,-99.12,98.39,-97.32,-0.27,10.53,-1.00,-99.36,92.58,-89.15,-0.31,20.53
4.1000,123,-0.58,-99.13,97.75,-96.21,-0.28,10.53,-1.02,-99.36,91.09,-86.45,-0.29,20.53
4.1333,124,-0.58,-99.14,96.94,-94.69,-0.27,10.53,-1.03,-99.39,89.78,-83.87,-0.28,20.53
