timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,7.03,-99.02,98.74,-96.74,1.11,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.0333,1,6.21,-99.03,98.76,-96.97,0.96,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.0667,2,5.47,-99.05,98.78,-97.17,0.83,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.1000,3,4.81,-99.06,98.79,-97.35,0.71,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.1333,4,4.22,-99.07,98.80,-97.50,0.61,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.1667,5,3.70,-99.07,98.82,-97.63,0.53,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.2000,6,3.26,-99.08,98.82,-97.74,0.46,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.2333,7,2.89,-99.09,98.83,-97.82,0.40,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.2667,8,2.63,-99.09,98.83,-97.86,0.37,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.3000,9,2.44,-99.09,98.84,-97.87,0.35,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.3333,10,2.32,-99.09,98.84,-97.87,0.34,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.3667,11,2.25,-99.09,98.83,-97.86,0.34,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.4000,12,2.22,-99.08,98.83,-97.84,0.34,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.4333,13,2.21,-99.08,98.83,-97.83,0.35,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.4667,14,2.23,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.5000,15,2.25,-99.08,98.83,-97.81,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.5333,16,2.26,-99.08,98.83,-97.81,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.5667,17,2.27,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.6000,18,2.27,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.6333,19,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.6667,20,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.7000,21,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.7333,22,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.7667,23,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.8000,24,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.8333,25,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.8667,26,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.9000,27,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.9333,28,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
0.9667,29,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.0000,30,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.0333,31,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.0667,32,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.1000,33,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.1333,34,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.1667,35,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.2000,36,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.2333,37,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.2667,38,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.3000,39,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.3333,40,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.3667,41,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.4000,42,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.4333,43,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.4667,44,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.5000,45,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.5333,46,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.5667,47,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.6000,48,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.6333,49,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.6667,50,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.7000,51,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.7333,52,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.7667,53,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.8000,54,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.8333,55,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.8667,56,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.9000,57,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.9333,58,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
1.9667,59,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
2.0000,60,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
2.0333,61,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
2.0667,62,2.28,-99.08,98.83,-97.82,0.36,13.16,1.94,-99.83,99.55,-99.83,0.26,23.16
