timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,8.33,-99.02,98.83,-96.61,1.35,13.16,-3.61,-99.83,99.64,-99.91,-1.20,23.16
0.0333,1,6.28,-99.03,98.83,-96.87,0.89,13.16,-3.82,-99.83,99.64,-99.91,-1.20,23.16
0.0667,2,4.41,-99.05,98.83,-97.10,0.47,13.16,-4.00,-99.83,99.64,-99.91,-1.20,23.16
0.1000,3,2.72,-99.06,98.83,-97.31,0.10,13.16,-4.16,-99.83,99.64,-99.91,-1.20,23.16
0.1333,4,1.22,-99.07,98.83,-97.49,-0.22,13.16,-4.30,-99.83,99.64,-99.91,-1.20,23.16
0.1667,5,-0.11,-99.07,98.83,-97.65,-0.50,13.16,-4.42,-99.83,99.64,-99.91,-1.20,23.16
0.2000,6,-1.25,-99.08,98.83,-97.77,-0.73,13.16,-4.51,-99.83,99.64,-99.91,-1.20,23.16
0.2333,7,-2.21,-99.09,98.83,-97.87,-0.92,13.16,-4.58,-99.83,99.64,-99.91,-1.20,23.16
0.2667,8,-2.93,-99.09,98.83,-97.92,-1.04,13.16,-4.60,-99.83,99.64,-99.91,-1.20,23.16
0.3000,9,-3.46,-99.09,98.83,-97.94,-1.11,13.16,-4.60,-99.83,99.64,-99.91,-1.20,23.16
0.3333,10,-3.83,-99.09,98.83,-97.95,-1.15,13.16,-4.59,-99.83,99.64,-99.91,-1.20,23.16
0.3667,11,-4.07,-99.09,98.83,-97.94,-1.16,13.16,-4.58,-99.83,99.64,-99.91,-1.20,23.16
0.4000,12,-4.19,-99.08,98.83,-97.93,-1.15,13.16,-4.56,-99.83,99.64,-99.91,-1.20,23.16
0.4333,13,-4.24,-99.08,98.83,-97.91,-1.13,13.16,-4.54,-99.83,99.64,-99.91,-1.20,23.16
0.4667,14,-4.23,-99.08,98.83,-97.90,-1.11,13.16,-4.53,-99.83,99.64,-99.91,-1.20,23.16
0.5000,15,-4.19,-99.08,98.83,-97.90,-1.10,13.16,-4.54,-99.83,99.64,-99.91,-1.20,23.16
0.5333,16,-4.17,-99.08,98.83,-97.90,-1.09,13.16,-4.54,-99.83,99.64,-99.91,-1.20,23.16
0.5667,17,-4.17,-99.08,98.83,-97.90,-1.09,13.16,-4.54,-99.83,99.64,-99.91,-1.20,23.16
0.6000,18,-4.16,-99.08,98.83,-97.90,-1.09,13.16,-4.54,-99.83,99.64,-99.91,-1.20,23.16
0.6333,19,-4.16,-99.08,98.83,-97.90,-1.09,13.16,-4.54,-99.83,99.64,-99.91,-1.20,23.16
0.6667,20,-4.15,-99.08,98.83,-97.90,-1.09,13.16,-4.54,-99.83,99.64,-99.91,-1.20,23.16
0.7000,21,-4.15,-99.08,98.83,-97.90,-1.09,13.16,-4.54,-99.83,99.64,-99.91,-1.20,23.16
