timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,7.48,-99.02,99.01,-96.72,1.30,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.0333,1,6.42,-99.03,99.01,-96.95,0.89,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.0667,2,5.45,-99.05,99.01,-97.15,0.51,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.1000,3,4.59,-99.06,99.01,-97.33,0.18,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.1333,4,3.81,-99.07,99.01,-97.49,-0.11,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.1667,5,3.13,-99.07,99.01,-97.62,-0.37,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.2000,6,2.55,-99.08,99.01,-97.74,-0.58,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.2333,7,2.06,-99.09,99.01,-97.82,-0.76,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.2667,8,1.70,-99.09,99.01,-97.87,-0.88,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.3000,9,1.44,-99.09,99.01,-97.90,-0.96,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.3333,10,1.26,-99.09,99.01,-97.91,-1.01,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.3667,11,1.15,-99.09,99.01,-97.91,-1.03,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.4000,12,1.10,-99.08,99.01,-97.90,-1.04,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.4333,13,1.08,-99.08,99.01,-97.90,-1.03,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.4667,14,1.08,-99.08,99.01,-97.89,-1.01,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.5000,15,1.10,-99.08,99.01,-97.89,-1.00,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.5333,16,1.11,-99.08,99.01,-97.90,-0.99,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.5667,17,1.11,-99.08,99.01,-97.90,-0.99,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.6000,18,1.11,-99.08,99.01,-97.91,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.6333,19,1.11,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.6667,20,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.7000,21,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.7333,22,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.7667,23,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.8000,24,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.8333,25,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.8667,26,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.9000,27,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.9333,28,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
0.9667,29,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.0000,30,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.0333,31,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.0667,32,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.1000,33,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.1333,34,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.1667,35,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.2000,36,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.2333,37,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.2667,38,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.3000,39,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.3333,40,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.3667,41,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.4000,42,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.4333,43,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.4667,44,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.5000,45,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.5333,46,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.5667,47,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.6000,48,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.6333,49,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.6667,50,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
1.7000,51,1.12,-99.08,99.01,-97.90,-0.98,13.16,0.75,-99.83,99.64,-99.91,-1.09,23.16
