timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,8.24,-99.15,98.79,-97.15,1.26,13.16,-3.48,-99.83,99.64,-99.91,-0.36,23.16
0.0333,1,6.40,-99.17,98.83,-97.31,0.97,13.16,-3.62,-99.83,99.64,-99.91,-0.36,23.16
0.0667,2,4.71,-99.19,98.87,-97.45,0.71,13.16,-3.75,-99.83,99.64,-99.91,-0.36,23.16
0.1000,3,3.18,-99.20,98.90,-97.58,0.47,13.16,-3.86,-99.83,99.64,-99.91,-0.36,23.16
0.1333,4,1.80,-99.22,98.93,-97.68,0.27,13.16,-3.95,-99.83,99.64,-99.91,-0.36,23.16
0.1667,5,0.57,-99.23,98.96,-97.77,0.10,13.16,-4.03,-99.83,99.64,-99.91,-0.36,23.16
0.2000,6,-0.51,-99.24,98.98,-97.85,-0.05,13.16,-4.09,-99.83,99.64,-99.91,-0.36,23.16
0.2333,7,-1.44,-99.25,98.99,-97.90,-0.16,13.16,-4.13,-99.83,99.64,-99.91,-0.36,23.16
0.2667,8,-2.40,-99.25,99.01,-97.94,-0.25,13.16,-4.12,-99.83,99.64,-99.91,-0.36,23.16
0.3000,9,-3.06,-99.26,99.02,-97.95,-0.28,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.3333,10,-3.42,-99.26,99.02,-97.92,-0.28,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.3667,11,-3.58,-99.25,99.02,-97.91,-0.29,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.4000,12,-3.65,-99.25,99.01,-97.90,-0.28,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.4333,13,-3.70,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.4667,14,-3.74,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.5000,15,-3.76,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.5333,16,-3.77,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.5667,17,-3.77,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.6000,18,-3.77,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.6333,19,-3.76,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.6667,20,-3.76,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.7000,21,-3.76,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.7333,22,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.7667,23,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.8000,24,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.8333,25,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.8667,26,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.9000,27,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.9333,28,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
0.9667,29,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
1.0000,30,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
1.0333,31,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
1.0667,32,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
1.1000,33,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
1.1333,34,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
1.1667,35,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
1.2000,36,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.36,23.16
1.2333,37,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.38,23.16
1.2667,38,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.39,23.16
1.3000,39,-3.75,-99.25,99.01,-97.90,-0.25,13.16,-4.07,-99.83,99.64,-99.91,-0.38,23.16
1.3333,40,-3.75,-99.25,99.01,-97.90,-0.26,13.16,-4.07,-99.83,99.64,-99.91,-0.37,23.16
1.3667,41,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.34,23.16
1.4000,42,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.31,23.16
1.4333,43,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.27,23.16
1.4667,44,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.23,23.16
1.5000,45,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.19,23.16
1.5333,46,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.15,23.16
1.5667,47,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.12,23.16
1.6000,48,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.10,23.16
1.6333,49,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.08,23.16
1.6667,50,-3.75,-99.25,99.01,-97.90,-0.27,13.16,-4.07,-99.83,99.64,-99.91,-0.08,23.16
